0,1,2,3
"Please excuse us now, we have some chores that we need to take care of.",それでは私どもは就寝の前のお勤めがございますので,So we have a working in front of bed,0.13636363636363635
"You don’t need to help! You’re injured, after all!",いいんですよ　怪我してるんですから,"I'm good, because I'm injured",0.11764705882352941
"Hey, you!",おい　お前,Hey,0.25
I dropped my shoes and got shit on them.,自分のことは自分でやれってママにおそわっただろう,I will do myself and I will be overwhelmed by myself,0.125
Lick it with your tongue!,跪いて綺麗にしてやれよ　舌で舐めてな,Let's make it clean and clean it with your tongue,0.36363636363636365
You were a sklave right?,お前だよお前　おろしたての靴に　はとがふんしちゃってさー,You're going to be a prayed shoes,0.16666666666666666
Lick it yourself!,やっちまえ,Just do it,0.16666666666666666
"I’m Mikage, what’s your name?",俺　ミカゲ	お前なんて名前だ,Mikage You are your name,0.25
Let's be friends from now on!,これからよろしくな,Thank you from now on,0.3
Teito Klein.,テイト·クライン,Tate Klein,0.25
"for Mikage, I'll do anything...",神様俺はあんたに誓ったミカゲのためなら,God I sweared for Mikage,0.3
I don’t have time to relax here and let the Church babysit me.,俺はって　でもやっぱりここに落ち着いてちゃいけない,Even if I do not have to calm down here,0.18181818181818182
"What a sad looking Moon,",悲しい　月ですな,It is a sad moon,0.375
What's with this guy?,おじさん　どうしたんですか　こんなところに,Uncle What happened to such places,0.09090909090909091
I wonder if he failed to leave before the gates closed.,閉門時間に間に合わなかったのかな,Did not in time for the closed time,0.11764705882352941
"You see, my wife passed away.",えっおっ　はい,E.,0.1111111111111111
"I had her buried in the cemetery here,",この教会の墓地に埋葬したんじゃが,I buried in the cemetery of this church,0.4166666666666667
"but whenever I find myself wondering if she's lonely living here all alone,",あいつは一人になって寂しいじゃないかと思うと,If you think that he is alone and lonely,0.14285714285714285
It used to be just the two of us.,それに二人暮らしだったからの,Because it was two people living,0.14285714285714285
now there's no one waiting for me at home.,今は家に帰っても誰もいない,Now there is no one even if you go home,0.3125
I no longer have a home to go back to.,帰るに帰れないんじゃ,I can not go back to go home,0.4166666666666667
What's this? You have the same look in your eyes as me.,何じゃ　お前さんもわしと同じ目をしておるの,What's the same as you like yourself,0.35294117647058826
Old man...,おじいさん,old man,0.6666666666666666
"If you like, why don't you tell me about what's eating at you.",もし　よかったら	聞かせてくれんか,"If you like, let me know",0.29411764705882354
"Old man, I can only remember bits and pieces of my past.",おじいさん　俺は過去が途切れ途切れしか思い出さなくて,Grandpa I have only remembered the past,0.16666666666666666
"I see, I see...",そうか　そうか,"Ah, I see I see",0.6
"And I couldn't protect my best friend, even though we swore an oath to each other!",それに　親友の誓いをした友達を守ることができなかった,It was not possible to protect my friends who had the best friend's vow,0.1724137931034483
"If you want him to grant your wish,",願いを叶えたくば　真夜中の鐘がなる時もう一度ここへくるとええじゃろう,"If you want to make a wish come true Midnight, it will come here again",0.3333333333333333
Chore time is just about over!,そろそろ　お勤めの時間は終わりですよ,The time of work is over soon,0.2727272727272727
Maybe he already went back to his room.,ひょっとして　先にお部屋にお戻りになられたのではないかしら,It's probably not returned to the room first,0.125
I just can’t stay here a moment longer.,やっぱり　俺は　こんなところにいちゃいけないんだ,After all I can not go to such a place,0.16666666666666666
I have to keep my oath with my best friend...,俺は　俺自身の力で　親友の誓いを守らなきゃならないんだ,I have to keep my best friend's vow with my own power,0.5714285714285714
I believe that it was fate that brought you here.,あなたがここにたどり着いたのも　きっと　何かのご縁,Something that I came here too,0.23076923076923078
Those who serve god will never forsake those who seek salvation...,神に仕えるものは　救いを求めるものを見捨てたりしませんし,Those who serve God do not abandon what you seek for salvation,0.375
...nor will he be betrayed them.,また裏切ることもしません,It is no longer betrayed,0.08333333333333333
I never said I wanted you to help me!,俺は思ってない　助けてほしいなんて,I want you to help you,0.4
Are you saying that God will rescue Mikage?,神がミカゲを助けてくれるとでもいうのか,Is it also said that God helps Mikage?,0.2857142857142857
I can do anything!,今外に出て　お前に何ができる,What can I go outside this and you can,0.18181818181818182
It’s said that a large of number of soldiers in the Empire‘s Army  are trained to fight using Zaiphon.,帝国の軍人の多くが　ザイフンと呼ばれる能力を駆使して　戦うと言いますが,It is said that many of the empire soldiers are fighting with the ability called Zyfun.,0.3103448275862069
"So, he was one of them.",彼もその一人,He also one person,0.2
Thank you very much.,ありがとうございます　おや,Thank you,0.4
"Oh my, it’s chamomile tea, isn’t it?",カモミールですね,It is chamomile,0.16666666666666666
God has bestowed the gift to transform and manipulate the source of all life energy to a selected few.,神が与えし生命の源をさまざまな形に変換できる類まれなる力,God gives a similar power that can be converted to various forms of life sources,0.17857142857142858
The power is manipulated by the user’s emotions and forms into words surrounding the caster’s hands.,ザイフン　主にその力は　感情と絡み合って　掌から発動される,Zyfun Mainly the power is involved and activated from the palm,0.17391304347826086
You can see how angry he is just by looking at his hands,彼の憤りが　手に取るように分かるね,You can see that his resentment gets hand,0.23529411764705882
What's keeping you?,どうした　そんなんじゃ俺は倒せねーぜ,What is that?,0.2857142857142857
"Hey, I’m not a stupid brat!",ザイフンだけじゃ勝てないんだよ　テイト,I can not win only Zyfun Tate,0.13333333333333333
"You overdid it, Frau!",やり過ぎですよ　フラウ,It is too exciting Flau,0.1
"But after all this, I bet he won't try leaving again.",こんだけ痛めつけときゃ　もう出て行こうとはしないだろう,I will not try to go out again when I hurt just,0.13636363636363635
but we all know he was with Teito-kun when he escaped.,テイト君が逃げる時一緒にいたのに,Taito I was with you when I escaped,0.2857142857142857
"Your sister’s a real cutie, isn’t she?",可愛い妹さんだね,It's a cute sister,0.13333333333333333
“It’s all for my family”,家族のために　君の志願書を読んで　感動したよ,I was moved by reading your own application for my family,0.17647058823529413
"That’s why I’m going to give you two choices,",だから　君に選択権を与えよう,So let's give you a selection,0.1111111111111111
your family...,家族か　テイトか,Family or tate,0.2
"Mikage, could it be...",ミカゲ　まさか,Mikage Mika,0.14285714285714285
"Meow, meow!",よしよし,Oyster,0.0
"The spiteful enemy, and the beloved friend.",憎い敵　恋しい友,I miss a hateful enemy,0.08333333333333333
"Darkness carefully enters the part of his heart, lost in despair.",切なく揺れる心の隙間に　闇がそっと忍び込む,Darkness into the gap of the heart where it shakes,0.2222222222222222
