0,1,2,3
He never wanted to join the family.,あいつはな ファミリーなんかに入りたくなかった,I did not want to enter a master family,0.13333333333333333
It was stupid how damn straight-laced he was.,バカみたいに真面目な奴だった,It was a serious guy like a fool,0.15384615384615385
But you... You drove him crazy.,なのに お前のせいでおかしくなっちまった,But it was funny because of you,0.16666666666666666
You killed him.,お前に殺されちまった,I was killed in you,0.2857142857142857
He'd never even been with a woman...,女も知らねのに...,Even if women know ...,0.16666666666666666
How is it right that you live and he dies?!,あいつが死んでお前が生きてんのは,That's dead and you live,0.2857142857142857
"Hey, are you listening?!",なんか可笑しくねか?,Something funny?,0.1111111111111111
Pipe down.,吵死了,Death,0.0
Who's the one who sent it?,差出人は誰だ,Who is the sender,0.2222222222222222
Ganzo.,Ganzo,Ganzo,0.5
"So I was being deceived from all sides, huh?",寄ってたかって騙されてたって訳か,It is translated that I was deceived,0.2
The son of Testa Lagusa received\N this letter and returned to Lawless.,テスタラグーザの息子がこの手紙を受け取って,The son of the testeragusa receives this letter,0.3333333333333333
And then...,そして...,and...,0.6666666666666666
Frate...,Frate,Frate,0.5
Volpe...,Volpe,Volpe,0.5
Del Toro...,Del Toro,Del Toro,0.6666666666666666
Barbero...,Barbero,Barbero,0.5
Vanno...,Vanno,Vanno,0.5
I killed them all.,皆俺が殺した,Everyone killed,0.16666666666666666
I'm the only person named in this letter who's still alive.,この手紙の中で 生き残ってるのは俺一人だ,It is one person who survives in this letter,0.2777777777777778
Why didn't you kill me?,なぜやらなかった,Why didn't you do,0.5
Vincent holed up in his mansion and wouldn't come out.,ヴィンセントは屋敷に籠って出てこない,Vincent does not come out in the house,0.25
"Obviously, I had to get close to his son first.",まずその息子に近づくのは当然だろう,"First of all, it will be natural to approach its son",0.21052631578947367
"That day, at the playhouse...",あの日 劇場で,At that day theater,0.375
You shouldn't have needed me alive anymore.,もう俺を生かしておく必要はなかったはずだ,It should have been not necessary to make use of me anymore,0.23529411764705882
I wanted you and Vincent to feel the same pain I did.,お前とヴィンセントには俺と同じ苦しみを,You and Vincent have the same suffering as,0.3333333333333333
A shame Vincent died so soon though.,遺憾的是 Vincent死了,Appreciable vincent dead,0.1
Do it.,やれよ,do it,0.6666666666666666
Acting like he understands everything...,悟ったような面しやがって,Face-to-face,0.0
Sheesh... You mafia guys...,ったく マフィアってやつは,Mafia is a guy,0.125
That's the stuff.,ほれ 景気付けに,In the case of,0.125
"You know the saying? ""Choke on your wine, you'll make it out fine.""",知ってるか 酒で噎せると生き残るってと,If you know if you know or sake it will survive,0.13043478260869565
No need to worry.,心配ずね,Won't worry,0.14285714285714285
Mr. Tigre...,Tigre,TIGRE,0.3333333333333333
The boat's all ready.,艇の準備ができました,The boat is ready,0.42857142857142855
"Great. Now it's goodbye, Lawless!",是時候跟Lawless Say Goodbye了,LaWless Say Goodbye,0.2
Go on ahead!,先に行け,Go ahead,0.5
Go! Run for the boat!,行け 船まで走るだ,Run to the ship,0.25
"Hey, I'm right here! Bring it on!",ほらほら こっちだ かかってこいだ,I'm sorry I'm sorry,0.18181818181818182
"Hey, take another look around!",給我再去看一遍,Collectible reimbursement,0.0
"The king's arms are long, Nero.",王の手は長いぞ ネロ,King's hand is long Nero,0.36363636363636365
Want to get some breakfast?,そろそろ朝飯でも食うぐあ,It's almost time for breakfast,0.09090909090909091
"Whoa, wait... Hey!",は ちょ は...,Hey ...,0.3333333333333333
I'm hungry.,腹減った,hungry,0.25
"He had a good, full life, right?",時機太好了,Good luck,0.1
He was in high spirits to the very end.,最後まで上機嫌だった,I was good at the end,0.23076923076923078
What?,なんだと,what,0.5
The Vanettis killed my family.,俺はバネッチィの奴らに家族を殺された,I was killed by the family in Banetchi,0.2727272727272727
Why did you save me?,まんまとお前に利用されたってわけだ?,Did you use it and you are used?,0.2727272727272727
I wanted to thank you.,礼が言いたくてなぁ,Thank you very much,0.25
I'm the next don.,次のドンは俺だ,The next Don is me,0.375
Shut up and start shooting!,うるせ  黙って撃ってろ,Shoot and shoot,0.14285714285714285
Damn it!,くそやろ,Dull,0.0
The Vanettis fled to the Island.,バネッチィの奴らはアイランドに逃げ込んだ,Baneci's guys flew to island,0.2
While you were asleep.,お前が寝てる間に,While you go to bed,0.25
Prohibition will end soon.,もうすぐ禁酒法も終わる,I will end the prohibited law soon,0.3333333333333333
Why bother?,なんでわざわざ...,Why are you?,0.4
Nero killed Ronaldo.,Nero是Ronaldo的仇人,Nero Ronaldo,0.5
being a man with no inconvenient ambitions.,余計な野心もない,No extra ambition,0.1
"If you kill a certain someone over there, you can be free.",あそこにる誰かさんをやれば お前は自由になれる,"If you do someone else, you can be free",0.4666666666666667
Will you come with me?,一緒に来るか,Do you come together,0.25
I don't care anymore.,もう どうでもいいことだ,It is good to do anything anymore,0.18181818181818182
Looks delicious!,看來挺美味,East,0.0
I'm escorting a dangerous prisoner.,凶悪犯を護送中だ,I'm thrilling a thug,0.3333333333333333
Best not to stare at him too much.,あんまジロジロ見ない方がいい,It is better not to see Anma Gyrosiro,0.13333333333333333
Everyone who's gotten involved with him has ended up dead.,此奴に関わった奴は みんな死んじまった,Everyone who was involved in this guy died,0.17647058823529413
Good meal.,ご馳走さん,Feast,0.0
Go right.,右だ,Right,0.3333333333333333
"Go south, and you'll end up on Route 41.",南に向かえば41号に出る,"If it goes to south, it will come out to 41",0.15789473684210525
The ocean.,海邊,Sea urchin,0.0
Have you ever seen it?,見たことあるか,Have you ever seen,0.6666666666666666
Nah.,沒,沒,0.0
Why didn't you just leave the city?,なんで さっさと町を出なかった,Why didn't you go out,0.36363636363636365
I wanted to see my revenge play out.,復讐を見届ける為だ,To watch revenge,0.2
Were you satisfied?,満足したか,Are you satisfied,0.4
"I thought that by completing my revenge and making my family's killers pay,",復讐を果たし 家族の死に報いれば,If you play revenge and reward your family's death,0.2
I would find a reason to live again.,生きる理由を取り戻せると思った,I thought that I could regain the reason to live,0.2857142857142857
But there was nothing left.,だが何も残らなかった,But nothing left,0.5
It was all for nothing.,一切都是白費,All city-based costs,0.125
I trusted you!,お前を信じてたんだぞ,I believed in you,0.3333333333333333
"That night, seven years ago...",七年前的那個夜晚,Seven years ago Night,0.5714285714285714
If you'd just shot me...,お前が俺を撃っつれば,If you shoot me,0.375
You don't need a reason to live.,生きてる事に理由なんていらねぇ,There is no reason to live,0.25
You just live.,ただ生きるだけだ,I just lived,0.16666666666666666
The reason I didn't kill you,俺がお前を殺さなかったのは,I did not kill you,0.5
is because I didn't want to kill you.,お前を殺したくなかったからだ,Because I did not want to kill you,0.6363636363636364
