0,1,2,3
"If anything goes wrong, Nero should open the door.",問題事が起きれば ネロは扉を開けるはずだ,"If the problem occurs, Nero should open the door",0.5384615384615384
"I let Galassia escape first, then kill Vincent, who can't run, and Nero.",走れないヴィンセントとネロをやる,Do not run Vincent and Nero,0.2222222222222222
Add your name to this.,これにあんたの名前を足してくれ,Please add your name to this,0.7142857142857143
"If your name is on it, it means you're my enemy.",ここに名前があれば 俺の敵ってことになる,"If there is a name here, my enemy will be",0.3333333333333333
You knew?,お前知ってたのか?,Did you know?,0.4
"Yeah, but I also know you didn't fire a shot.",あぁ だが銃を抜かなかったことも知ってる,"Oh, I also know that I did not pull out the gun",0.25
He killed your family because your father found out.,そして それに勘付いたお前の親父と家族をやった,And I did my father and family,0.15384615384615385
You should be the one to kill Vincent and Nero.,やつとネロはお前がやるべきだ,Yatsu and Nero should do it,0.21428571428571427
It's the only thing that makes sense.,急かすなよ 物には順序がある,There is a rushing thing.,0.15384615384615385
What are you talking about?,何の話だ,What is the story,0.1111111111111111
If anything happens to the don—,ドンにもしものことがあったら...,If you have something to do in Don ...,0.15384615384615385
He's capable.,他是真材實料的,Other crap material,0.0
And once Vincent's dead...,衹要幹掉Vincent,衹 衹 Vincent,0.14285714285714285
"In two days, you'll be the one unifying the family.",お前がファミリーをまとめることになる,You will organize the family,0.21428571428571427
Don't mess it up.,しっかりやれよ,Let's do it firmly,0.2222222222222222
"Unlike Nero, I do as I'm told.",ネロと違って 俺は聞き分けがいいぜ,"Unlike Nero, I have no idea how to hear",0.26666666666666666
Does Don Galassia know about this?,Don Galassia是否知道此事,DON GALASSIA Finding Faculty,0.2222222222222222
"Nero, might I have a moment?",ネロ ちょっといいか,Nero a little better,0.2
Is this about Avilio?,アヴィリオのことか,Is it about Avillio,0.2857142857142857
Yeah. I think we should take him off security at the playhouse.,あぁ やつは劇場の警備から外した方がいい,"Oh, I'm better to remove it from the theater security",0.13636363636363635
Why?,なぜ,why,0.5
"You, especially.",特にお前を,Especially you,0.5
"Yesterday, he cleared all suspicion on himself.",昨日自分の手で疑いを晴らしただろう,Yesterday I wondered if I had a suspicion with my own hand,0.1111111111111111
What good would it do him to resent us now?,今更恨んだところで どうなるもんでもねぇ,What will be more than ever before,0.058823529411764705
He's like an empty shell.,あいつはもう抜け殻みたいなもんだ,He's already shelled shell,0.3333333333333333
I'll give Avilio something to live for.,アヴィリオの生き甲斐は俺が与える,Avilio's alive will give me,0.15384615384615385
How are you feeling?,身體狀況如何,How do you feel,0.2857142857142857
"Well enough, today.",今日感覺很好,Today,0.2
Did you speak to the doctor?,医者には会ったか?,Did you meet the doctor?,0.625
He says you'll be right as rain soon.,すぐに良くなるとせさ,It will be better soon,0.15384615384615385
Don't hide it.,隠すな,Hide,0.2
I know I'm on my way out.,我知道自己快不行了,I'm in love with me,0.16666666666666666
"Years ago, I killed my best friend and his family with my own hands.",かつて俺は 親友とその家族をこの手にかけた,Once I got my best friend and their families,0.2631578947368421
"If I hadn't killed Testa then,",當時若不殺Testa,Lottery TESTA,0.1111111111111111
the family would have been\N swallowed up by the Galassias.,今頃ファミリーはガラッシアに呑まれていた,"Curiously, the family was gallowed by Glassia",0.2
"The last seven years,",那以後的七年來,Seven years after,0.3333333333333333
"However looking back, I wonder if \Nthere might've been another way.",別の道があったんじゃないのか,I wonder if there was another way,0.3125
"If, maybe, I didn't have to kill him.",やつをやらずに済んだんじゃないのか,I wonder if I did not do the guy,0.1875
Dad.,親父,father,0.0
The Vanetti name is more important than anything.,バネッチィの名は何よりも重い,Banecchi's name is heavier than anything,0.3333333333333333
I'm ready to do what I must.,無論朋友 還是父母兄弟,"Of course, I'm sorry for my friend",0.13333333333333333
I'm back.,ただいま,I'm back,0.75
I've been waiting for this day for so long.,ずっとこの日を待っていた,Waiting for this day forever,0.36363636363636365
I can't even tell anymore.,もう分からない,I do not know anymore,0.2
What did I come back here for?,いったい何のために戻ってきたのか,What did you come back for?,0.6666666666666666
"Well, Corteo?",算了 Corteo,Calculation Corteo,0.2
"Tomorrow, it all ends.",明日 全てが終わる,All tomorrow will end,0.25
It's been three years since\N you were last seen in public.,公の場に姿を現わした三年ぶりですが,It is the first time in three years that appeared in public places,0.25
Could you say a few words?,おい よってくんな,Thank you,0.125
It's Galassia!,是Galassia,Creative GALASSIA,0.2
How do you like the playhouse?,如何 這座劇院,How is the theater,0.2222222222222222
I modeled it after La Scala in Milan.,ミラノのスカラ座をモデルにした,A model of Milan's scala,0.15384615384615385
"You called in an Italian architect to build it, right?",是請意大利的建築師建造的對吧,"Approxy, university building construction worker",0.058823529411764705
This playhouse was my dream.,この劇場は俺の夢だった,This theater was my dream,0.5714285714285714
You've got everything.,何でも手に入れやがってよ,Everything is done,0.14285714285714285
And it'll all be secured once we work things out with Galassia.,万事安泰だ,It is safe,0.0625
I'm sure Testa Lagusa would understand., Testa Lagusa也會理解的,TESTA LAGUSA Yuya Uta,0.2
They don't have a drop of class.,真是掃興,Pretty victory,0.0
"Start time, eh?",そろそろ始まるか,Is it start soon?,0.25
I've never been more proud to be mayor of Lawless.,私はローレスの市長であること,What I am the mayor of Lauz,0.1875
"Now, once more,",那麼 請再次,Nao reserve again,0.0
let's have a round of applause for Mr. Vincent Vanetti!,為Vincent Vanetti先生獻上熱烈的掌聲,Vincent Vanetti teacher 獻 獻 聲 聲 聲,0.13333333333333333
We don't even have a theater this nice in Chicago.,シカゴにもこれほどの劇場はない,There is no theater in Chicago,0.2
I'm honored.,光栄です,I am honored,0.4
To a new start with the Vanetti family.,バネッチィファミリの新しい門出に,For a new gate of the Banecchi family,0.3076923076923077
I'd go crazy after three hours of standing.,三時間も立ちん坊じゃ可笑しくなっちまう,Three hours will be broken,0.15384615384615385
"Yeah, yeah.",へい へい,Hidden,0.0
"Mr. Del Toro lend me a match, would you?",デル トロの旦那 マッチ貸してもらいませんか,Do you not lend you a delto husband?,0.26666666666666666
"Come on, no need to ignore me.",先生 不必無視我吧,Teacher Invisible No Exposure,0.08333333333333333
Be silent forever.,那就永遠沉默吧,Nakabe forever,0.2
I thought so.,果然如此,Renewal,0.0
"You wanted to avenge Corteo, is that it?",你打算為Corteo報仇?,How to misunderstand Corteo?,0.25
My comrades are after Nero as we speak.,俺の仲間がネロを狙ってる たった今もな,My friend was aiming for Nero,0.15384615384615385
Don't change the subject.,出任せを言うな,Don't say out,0.25
But...,でもよ...,But ...,1.0
I'm worried.,ちょっと気になるぜ,I'm a little worried,0.5
There's a letter in my jacket pocket.,内ポケットに手紙が入ってる,A letter is included in the inner pocket,0.3076923076923077
It's from the man who called me to this town.,俺をこの町に呼んだ男からだ,A man who called to this town,0.46153846153846156
Angelo Lagusa?,Angelo Lagusa,ANGELO LAGUSA,0.6666666666666666
What does it say?,何で書いたんだ,What did you write,0.125
"""The ones who killed your father, mother, and little brother,",そして弟を殺した者たちの名は,And the name of the person who killed my brother,0.3125
who now rest in peace in Lawless...,在Lawless殺死你父母,Lawless killing parents,0.1111111111111111
"Vincent Vanetti, his son Nero,",ヴィンセント バネッチィ 息子のネロ,Vincent Banetchi son Nero,0.42857142857142855
"Vanno Clemente, and Ganzo Alary.""",Vanno Clemente和Ganzo Alary,Vanno Clemente Japanese Ganzo Alary,0.4444444444444444
Who sent this?,誰寄的,Who,0.25
Who is this best friend of Testa Lagusa?,このテスタ ラグーザの親友と誰だ,Who is this tester ragusa's best friend,0.4166666666666667
I'll call Nero and Uncle Ganzo!,ネロとガンゾ叔父きを呼ぼう,Nero and Gun Souko call,0.3
Wait.,待て,wait,0.5
Don't call Nero.,ネロを呼ぶな,Don't call Nero,0.8
I can't believe it. Avilio did?,難以置信 Avilio嗎,Avilio 嗎,0.1
Barbero said not to call Nero.,バルベロはネロを呼ぶなって,Barbero calls Nero,0.25
"No, call him.",いや 呼んで来い,Call me,0.16666666666666666
"Nero's the don, not Barbero.",Don是Nero 不是Barbero,Don Class Nero Inc. Barbero,0.3
What happened? Explain this.,何があった 説明しろ,What happened,0.3333333333333333
"As I thought, he was after Nero.",やっぱり ネロを狙っていました,After all I was aiming for Nero,0.3333333333333333
"And Don Vincent, and you.",ドン ヴィンセントやあなたも,Don Vincent and you,0.6666666666666666
Whoever sent this letter is behind all this.,こいつにその手紙を送ったやつが黒幕です,The guy who sent the letter to this guy is a black screen,0.26666666666666666
Not one.,さあな,I do not know,0.16666666666666666
Where's Tigre?,ティグレは,Tigre,0.25
He went to get Nero.,ネロを呼びに行った,I went to call Nero,0.375
Why?!,何故,why,0.3333333333333333
Nero should get to decide what to do.,どうするかはネロに決めさせる,Let's decide what to do with Nero,0.45454545454545453
"This boy was his right hand, after all.",こいつは右腕だったしなぁ,This guy was right arm,0.25
No! Nero won't kill him!,だめだ ネロにはこいつは殺せない,I can not kill this guy in Nero,0.15384615384615385
"Now, calm down, Barbero.",喂 冷靜 Barbero,喂 Cold Barbero,0.125
"Vanno and Del Toro, and the \Ndeaths of so many others...",ヴァンノもデル トロもほかのやつらの死も,Vanno and del Toro also died other guys,0.25
Nero said you were like an empty shell.,お前は抜け殻のようだとネロはそう言っていた,"If you looked like a shell, Nero was saying that",0.25
You drove Nero mad!,お前がネロを狂わせた,You mad to Nero,0.5
If you hadn't shown up...,お前が現れなければ,If you do not appear,0.2
Devil who possessed the family and infested Nero's mind...,ファミリーに取り付き ネロの心に巣くう悪魔め,Devil who mounted on the family and nested in the heart of Nero,0.35294117647058826
I'll protect Nero myse—,ネロを俺が守,I fly Nero,0.3333333333333333
Guess it's all over.,いえ むしろお誂え向きの状況じゃないか,"No, it's a situation of a place for an order",0.13333333333333333
Where did you mess up?,どこでへまをしやがった,Where did you go?,0.5714285714285714
Nero.,ネロ,Nero,0.5
Excuse me.,失礼,impoliteness,0.0
What's wrong?,どうした,What happened,0.2
Barbero's got Avilio...,Barbero把Avilio...,Barbero Has Avilio ...,0.5
Uncle?,おじき,Unrequent,0.0
He got away. You just missed him.,看來和他交錯而過 讓他逃了,和 交 交 讓 讓 讓 讓 讓 讓 讓 讓,0.0
Avilio...,Avilio...,Avilio ...,1.0
"It seems he is after Vincent, me, and you.",やつの狙いはヴィンセントと俺,The aim of the guy is Vincent and I,0.1875
So he's going after the don?,以防萬一派人過去,In the past,0.1
I'll find him and kill him!,見つけ出せ 俺がぶっ殺してやる,I will find out I will kill me,0.3
What's going on here?,これはどういうことだ,What does this mean,0.1111111111111111
Is that body a stage prop?,その死体は舞台の小道具が,The corpse is the stage of the stage,0.2
"If anything happens to the don... \NYou know what'll happen, right?",もしもドンに何かあったら,If there is something in Don,0.10526315789473684
"If I were him, I'd go with a rifle.",俺なら ライフルだな,I'm rifle,0.16666666666666666
I could snipe him easily from the box across from his.,対岸の部屋から楽に狙撃できる,It can be sniped easily from the room on the other side,0.15789473684210525
"Tigre, check the fourth floor!",ティグレ 4階を見てこい,Look at the 4th floor of the Tigley,0.16666666666666666
I was told to lead you two outside through the back entrance.,お2人を裏手から外へお連れするようにと,Approaching two people from the back hand,0.17647058823529413
Where's Del Toro?,Del Toro在哪兒,DEL TORO,0.4
I don't know. He isn't here.,さ ここには居りません,I'm not here,0.2
Who are you?,お前は,You are,0.5
Bring Nero here.,帶Nero過來,Nero Over,0.2
"Don Galassia, please.",拜託了 Don Galassia,Don Galassia,0.4
We don't have time.,時間がないんです,I have no time,0.25
Watch your tongue!,注意規矩,Rules,0.0
"Now, no need to be so angry.",まあ そういきり立つこともないでしょう,Well there will be no stazing,0.15384615384615385
"I know the man well, myself.",私もよく知る男です,I am a man who knows well,0.25
"And he's your son's right hand, I hear.",それにご子息の右腕とか,And the right arm of the son,0.21428571428571427
"Looks like we've reached the climax,",クライマックスのようなあ,Like climax,0.25
though it didn't quite go by the script.,筋書きとは違うが,It is different from the muscle,0.14285714285714285
This man killed my family.,俺がこいつに家族を殺された,I was killed my family in this guy,0.4
I don't know you.,お前など知らん,I do not know if you,0.5
My father's name was Testa Lagusa.,我父親叫Testa Lagusa,My father screaming Testa Lagusa,0.4444444444444444
This is great! Is he part of the performance?,これはいい 舞台から出てきたのか,Is this coming out of a good stage,0.2
He just keeps getting more interesting!,真是個有趣的男人,True plaque deskman,0.0
I returned to this town for the sake of this day.,今日の日を迎えるためこの町に帰ってきた,I came back to this town to meet today's day,0.3125
"This time, I'm the one who'll take everything away.",今度は俺がすべてを奪う番だ,This time I will take everything,0.35714285714285715
Someone call a doctor!,誰か早く医者を,Doctor with someone quickly,0.2857142857142857
Damn you!,貴様,you,0.3333333333333333
"Well, it's not a bad development.",まあ 悪くない展開か,Well bad deployment,0.2
Finish the Vanettis.,給我收拾掉Vanettis,Collection 掉 Vanettis,0.16666666666666666
Nero...,Nero Nero,Nero Nero,0.5
Corteo...,Corteo,CORTEO,0.5
I did it.,やったぞ,I did it,0.75
